Timestamp,Strengths,Firsts,Lasts,Minimums,Maximums
1541336630739,661021,677424,641690,601462,766434
1541336744758,659766,666803,634840,601462,751141
1541336831620,659640,665959,631890,602102,747991
1541337004927,659640,665959,631890,602102,747991
1541337071516,659640,665959,631890,602102,747991
1541337101960,659640,665959,631890,594745,747991
1541337137777,652450,663589,631480,594424,747565
1541337154385,649661,660318,629890,594424,747565
1541337156755,649661,660318,629890,594424,747565
1541337162200,652450,663589,629890,594424,747565
1541337253004,652450,663589,625377,594424,747565
1541337322180,652450,663579,625223,593784,746298
1541337372047,651370,662949,623593,592965,743879
1541337387100,651370,663803,623593,592935,745146
1541337481350,648581,663803,623593,590999,745146
1541337543210,648581,663803,623593,590999,745146
1541337670370,648581,663803,623593,588362,750836
1541337672925,645647,662949,618268,588332,750836
1541337735680,645169,657859,618268,588184,750836
1541337743580,640886,653009,618268,588184,749845
1541337795220,640886,653009,618268,588184,749845
1541337797290,639296,649738,617771,588184,744155
1541337806210,639296,649738,617771,588184,744155
1541337819340,639296,649738,617771,588184,744155
1541337829314,639296,649738,617384,585964,744155
1541337843355,638839,649528,615118,585004,743985
1541337879000,638839,649528,615118,584546,743985
1541337881154,638839,649528,615118,584694,743985
1541337886870,639296,649738,617384,584694,744155
1541337920620,639296,649738,617384,584694,744155
1541337961240,639296,649738,617384,584694,744155
1541337963881,639296,649738,617384,584694,744155
1541337964740,636078,648730,614955,584694,744025
1541337970090,635621,648520,612689,584334,743855
1541338026270,635621,648520,612689,584334,734574
1541338073804,633161,647230,612302,583614,734208
1541338139800,633161,647230,612302,583614,734208
1541338157239,633161,647230,612302,583614,734208
1541338161535,633161,647230,612302,583614,732783
1541338162490,633639,652320,615201,583644,734773
1541338205074,633639,652320,615201,583644,734773
1541338221050,633639,652320,615201,583644,734773
1541338239272,634263,652320,615201,583644,734773
1541338259770,634263,652320,615201,583644,734773
1541338278992,634263,653328,615201,583644,736198
1541338353990,634263,653328,615201,583644,736198
1541338366302,637323,657258,617781,583674,737358
1541338371746,637323,657258,617781,583674,737358
1541338381203,637323,657258,617781,583674,737358
